applotnumber,country,receivedlotdate,procest,procestname,haccpcode,productcategory,species,finalweightrefused,refusalreasons,failedtoi,defect
1749137-1,DENMARK,7/6/2021,65,Danish Crown Foods A/S (also T/A Tulip Food Company),03D,"Thermally processed, commercially sterile",Pork,288,Shipping Damage,,"Torn, exposed"
1746320-1,NEW ZEALAND,7/6/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1743168-1,AUSTRALIA,7/6/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1743162-1,AUSTRALIA,7/6/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,228,Invalid Shipping Mark,,Missing Shipping Mark
1743162-3,AUSTRALIA,7/6/2021,262,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,185,Invalid Shipping Mark,,Missing Shipping Mark
1746284-3,AUSTRALIA,7/6/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,42,Shipping Damage,,"Torn, exposed"
1746284-4,AUSTRALIA,7/6/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,41,Shipping Damage,,"Torn, exposed"
1743026-1,BRAZIL,7/6/2021,4400,JBS S/A,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1749644-1,NICARAGUA,7/6/2021,4,Industrial Comercial San Martin S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1749189-1,NEW ZEALAND,7/6/2021,ME103,Auckland Meat Processors Limited,03C,Raw intact beef,Beef,38,Failed Type of Inspection (Y)/ PE1 OCP - Extraneous Materials,Label Verification,Container labeling issues/ Extraneous Materials: Grease; Dirt; Other
1749190-1,NEW ZEALAND,7/6/2021,ME103,Auckland Meat Processors Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1746236-2,AUSTRALIA,7/6/2021,369,Ausvision Meat Processors Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,174,Invalid Shipping Mark,,Missing Shipping Mark
1746236-3,AUSTRALIA,7/6/2021,369,Ausvision Meat Processors Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,43,Invalid Shipping Mark,,Missing Shipping Mark
1754117-1,CANADA,7/6/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,22,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1753571-7,MEXICO,7/6/2021,57,"Sonora Agropecuaria, S.A. de C.V.",03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1753566-1,MEXICO,7/6/2021,148,"Frigorifico Agropecuaria Sonorense, S. de R.L. de C.V.",03G,RTE fully-cooked meat,Pork,16,Other,,Misc. Labeling Issue
1753561-2,MEXICO,7/6/2021,148,"Frigorifico Agropecuaria Sonorense, S. de R.L. de C.V.",03G,RTE fully-cooked meat,Pork,22,Shipping Damage,,"Torn, exposed"
1753558-1,MEXICO,7/6/2021,148,"Frigorifico Agropecuaria Sonorense, S. de R.L. de C.V.",03G,RTE fully-cooked meat,Pork,16,Invalid Shipping Mark,,Missing Shipping Mark
1752619-2,NEW ZEALAND,7/6/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,285,Shipping Damage,,"Torn, exposed"
1752619-3,NEW ZEALAND,7/6/2021,ME17,Alliance Group Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,52,Shipping Damage,,"Torn, exposed"
1741226-1,BRAZIL,7/6/2021,431,Minerva S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1753905-1,MEXICO,7/6/2021,426,"Rastros y Frigorificos de Culiacan, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1753905-3,MEXICO,7/6/2021,426,"Rastros y Frigorificos de Culiacan, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,106,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1744050-1,NEW ZEALAND,7/6/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1739008-2,URUGUAY,7/6/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1740514-22,NETHERLANDS,7/6/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,96,Shipping Damage,,"Torn, exposed"
1740514-24,NETHERLANDS,7/6/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,105,Shipping Damage,,"Torn, exposed"
1740514-26,NETHERLANDS,7/6/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,101,Shipping Damage,,"Torn, exposed"
1740514-68,NETHERLANDS,7/6/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,3,Shipping Damage,,"Torn, exposed"
1740514-74,NETHERLANDS,7/6/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,81,Shipping Damage,,"Torn, exposed"
1754114-1,CANADA,7/6/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,23,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1740457-3,NEW ZEALAND,7/6/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,30,Invalid Shipping Mark,,Missing Shipping Mark
1740457-4,NEW ZEALAND,7/6/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1740457-6,NEW ZEALAND,7/6/2021,ME42,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1748418-2,AUSTRALIA,7/6/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,49,Shipping Damage,,"Crushed, blood stained"
1748416-1,AUSTRALIA,7/6/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,118,Shipping Damage,,"Crushed, blood stained"
1754043-1,CANADA,7/6/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,88,Shipping Damage,,"Torn, exposed"
1740594-1,AUSTRALIA,7/6/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,1096,Invalid Shipping Mark,,Missing Shipping Mark
1754902-1,CANADA,7/6/2021,263,Olymel S.E.C./Olymel L.P.,03G,RTE fully-cooked meat,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1753600-1,CANADA,7/6/2021,142,"Les Aliments BCI, Inc./BCI Foods, Inc.",03D,"Thermally processed, commercially sterile",Chicken,0,Invalid Inspection Certificate,,Inspection certificate issues
1755200-1,BRAZIL,7/6/2021,385,JBS S/A,03D,"Thermally processed, commercially sterile",Beef,44039,Failed Type of Inspection (Y)/ Invalid Inspection Certificate,Label Verification,Container labeling issues/ Inspection certificate issues
1737004-3,AUSTRALIA,7/7/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,47,Shipping Damage,,"Torn, exposed"
1737004-4,AUSTRALIA,7/7/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,47,Shipping Damage,,"Torn, exposed"
1746900-3,AUSTRALIA,7/7/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,0,Other,,Misc. Labeling Issue
1749993-1,AUSTRALIA,7/7/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749983-1,AUSTRALIA,7/7/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1749987-1,AUSTRALIA,7/7/2021,234,HW Greenham & Sons Pty Ltd,03C,Raw intact beef,Beef,60,Invalid Shipping Mark/ Shipping Damage,,"Illegible Shipping Marks/ Torn, exposed"
1735703-1,VIETNAM,7/7/2021,DL369,Mekong Delta Food Factory - CASEAMEX,03C,Raw intact meat - other,Siluriformes - Other,15,Shipping Damage,,"Torn, exposed"
1748437-1,AUSTRALIA,7/7/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,41,Invalid Shipping Mark,,Missing Shipping Mark
1748437-2,AUSTRALIA,7/7/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,38,Invalid Shipping Mark,,Missing Shipping Mark
1744260-1,POLAND,7/7/2021,32620201,Animex Foods Sp. zo.o. ul T. Chalubinskiego,03G,RTE meat fully-cooked without subsequent exposure to the environment,Pork,99,Invalid Shipping Mark,,Missing Shipping Mark
1742987-2,POLAND,7/7/2021,22030207,Goodvalley Sp. zo.o.,03C,Raw intact pork,Pork,55,Shipping Damage,,"Torn, exposed"
1732638-1,NEW ZEALAND,7/7/2021,ME125,Silver Fern Farms Limited - Dargaville,03C,Raw intact beef,Beef,120,Invalid Shipping Mark,,Illegible Shipping Marks
1751322-1,CHILE,7/7/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,120,Invalid Shipping Mark,,Missing Shipping Mark
1749992-1,AUSTRALIA,7/7/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1736820-1,NEW ZEALAND,7/7/2021,ME32,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1746894-1,AUSTRALIA,7/7/2021,399,Teys Australia Biloela Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1750273-1,NEW ZEALAND,7/7/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1747033-1,AUSTRALIA,7/7/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,53,Shipping Damage,,"Crushed, blood stained"
1747033-3,AUSTRALIA,7/7/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,56,Invalid Shipping Mark,,Shipping Mark Invalid
1752151-1,AUSTRALIA,7/7/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
1744070-1,NEW ZEALAND,7/7/2021,ME66,CMP Kokiri Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1740030-1,DENMARK,7/7/2021,14,Danish Crown,03C,Raw intact pork,Pork,48,Other,,Misc. Labeling Issue
1742979-1,POLAND,7/7/2021,22030207,Goodvalley Sp. zo.o.,03C,Raw intact pork,Pork,0,Shipping Damage,,"Torn, exposed"
1737758-1,BRAZIL,7/7/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,52,Shipping Damage,,"Torn, exposed"
1737759-1,BRAZIL,7/7/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,61,Shipping Damage,,"Torn, exposed"
1740410-1,BRAZIL,7/7/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,57,Shipping Damage,,"Torn, exposed"
1727369-1,AUSTRALIA,7/7/2021,612,Wodonga Rendering Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1727369-2,AUSTRALIA,7/7/2021,612,Wodonga Rendering Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1743944-1,NEW ZEALAND,7/7/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,900,Shipping Damage,,"Torn, exposed"
1745651-1,BRAZIL,7/7/2021,385,JBS S/A,03D,"Thermally processed, commercially sterile",Beef,54,Shipping Damage,,"Crushed, blood stained"
1747377-1,AUSTRALIA,7/7/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1747376-1,AUSTRALIA,7/7/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1746137-2,AUSTRALIA,7/7/2021,3416,Meramist Pty Ltd,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1748395-1,AUSTRALIA,7/7/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Missing Shipping Mark
1748395-2,AUSTRALIA,7/7/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,0,Invalid Shipping Mark,,Missing Shipping Mark
1748394-1,AUSTRALIA,7/7/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1748392-1,AUSTRALIA,7/7/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1750745-1,NEW ZEALAND,7/7/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,720,Shipping Damage,,"Torn, exposed"
1742274-1,NEW ZEALAND,7/7/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1749088-1,AUSTRALIA,7/7/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1747684-1,AUSTRALIA,7/7/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1748241-1,URUGUAY,7/7/2021,379,Frigorifico Las Piedras S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1749203-1,NEW ZEALAND,7/7/2021,ME66,CMP Kokiri Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1754110-1,CANADA,7/7/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1749641-1,AUSTRALIA,7/7/2021,291,Teys Australia Southern Pty Ltd,03C,Raw intact beef,Beef,30,Shipping Damage,,"Torn, exposed"
1748700-1,NEW ZEALAND,7/7/2021,ME132,Prime Range Meats Limited,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
1753722-2,AUSTRALIA,7/7/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,39,Shipping Damage,,"Torn, exposed"
1753722-3,AUSTRALIA,7/7/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,87,Shipping Damage,,"Torn, exposed"
1741859-6,AUSTRALIA,7/7/2021,46,Wagstaff Cranbourne Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1741859-7,AUSTRALIA,7/7/2021,46,Wagstaff Cranbourne Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
1742230-1,AUSTRALIA,7/7/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
1754368-1,AUSTRALIA,7/7/2021,688,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,105,Invalid Shipping Mark/ Shipping Damage,,"Crushed, blood stained/ Missing Shipping Mark"
1750757-1,NEW ZEALAND,7/7/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,540,Shipping Damage,,"Torn, exposed"
1751509-1,ARGENTINA,7/7/2021,1970,Frigorifico Regional Industrias Alimenticias Reconquista S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1751509-2,ARGENTINA,7/7/2021,1970,Frigorifico Regional Industrias Alimenticias Reconquista S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1747472-2,AUSTRALIA,7/7/2021,686,V & V Walsh Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,37,Invalid Shipping Mark,,Missing Shipping Mark
1755513-2,CANADA,7/7/2021,126,Hylife Foods LP,03C,Raw intact pork,Pork,52,Shipping Damage,,"Torn, exposed"
1740408-1,NEW ZEALAND,7/7/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1740408-2,NEW ZEALAND,7/7/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1740408-3,NEW ZEALAND,7/7/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1740408-4,NEW ZEALAND,7/7/2021,ME47,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,300,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1754065-14,NETHERLANDS,7/7/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,16,Other,,Misc. Labeling Issue
1754065-18,NETHERLANDS,7/7/2021,NL 9 EG,EKRO B.V.,03C,Raw intact beef,Veal,46,Shipping Damage,,"Torn, exposed"
1746532-1,BRAZIL,7/7/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1735974-1,BRAZIL,7/8/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,62,Shipping Damage,,"Torn, exposed"
1753567-1,CANADA,7/8/2021,396,"2344959 Ontario, Inc.",03G,RTE fully-cooked poultry,Chicken,0,Invalid Inspection Certificate,,Inspection certificate issues
1747735-1,NEW ZEALAND,7/8/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1751937-1,AUSTRALIA,7/8/2021,291,Teys Australia Southern Pty Ltd,03C,Raw intact beef,Beef,48,Shipping Damage,,"Torn, exposed"
1736190-1,VIETNAM,7/8/2021,DL500,Workshop 3 - VINH HOAN CORP,03C,Raw intact meat - other,Siluriformes - Other,135,Shipping Damage,,"Torn, exposed"
1751555-2,POLAND,7/8/2021,22030207,Goodvalley Sp. zo.o.,03C,Raw intact pork,Pork,50,Shipping Damage,,"Torn, exposed"
1745772-2,NEW ZEALAND,7/8/2021,SPM51,South Pacific Meats Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Failed Type of Inspection (Y)/ Invalid Inspection Certificate,Label Verification,Container labeling issues/ Inspection certificate issues
1745772-3,NEW ZEALAND,7/8/2021,SPM51,South Pacific Meats Limited,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Inspection Certificate,,Inspection certificate issues
1750269-1,AUSTRALIA,7/8/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1754087-2,AUSTRALIA,7/8/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,41,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1750686-1,NEW ZEALAND,7/8/2021,ME18,Alliance Group Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1750004-2,AUSTRALIA,7/8/2021,101,Western Meat Exporters Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Goat,57,Shipping Damage,,"Torn, exposed"
1753265-1,MEXICO,7/8/2021,209,"Sigma Alimentos Congelados, S.A. de C.V.",03H,NRTE otherwise processed poultry,Chicken,0,Invalid Inspection Certificate,,Inspection certificate issues
1754528-9,MEXICO,7/8/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,32,Shipping Damage,,"Crushed, blood stained"
1754528-12,MEXICO,7/8/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03C,Raw intact beef,Beef,50,Shipping Damage,,"Crushed, blood stained"
1750746-1,NEW ZEALAND,7/8/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,300,Shipping Damage,,"Torn, exposed"
1737523-1,BRAZIL,7/8/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,108,Shipping Damage,,"Torn, exposed"
1720289-1,BRAZIL,7/8/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,58,Shipping Damage,,"Torn, exposed"
1720288-1,BRAZIL,7/8/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,56,Shipping Damage,,"Torn, exposed"
1716184-1,BRAZIL,7/8/2021,2471,Minerva S.A.,03C,Raw intact beef,Beef,52,Shipping Damage,,"Crushed, blood stained"
1751172-3,AUSTRALIA,7/8/2021,3085,Australian Meat Group Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1745441-1,AUSTRALIA,7/8/2021,2309,Fletcher International Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Inspection Certificate,,Inspection certificate issues
1751492-1,ISRAEL,7/8/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,60,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
1751492-2,ISRAEL,7/8/2021,108,Of-Tov Products (2001) Ltd.,03G,RTE fully-cooked poultry,Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
1750753-1,NEW ZEALAND,7/8/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1747020-1,NEW ZEALAND,7/8/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1755458-1,MEXICO,7/8/2021,519,"CPD Alimentos, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1755458-2,MEXICO,7/8/2021,519,"CPD Alimentos, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1755458-3,MEXICO,7/8/2021,519,"CPD Alimentos, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1755458-4,MEXICO,7/8/2021,519,"CPD Alimentos, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
1751913-3,AUSTRALIA,7/8/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,42,Invalid Shipping Mark,,Shipping Mark Invalid
1751913-4,AUSTRALIA,7/8/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,30,Invalid Shipping Mark,,Shipping Mark Invalid
1751913-7,AUSTRALIA,7/8/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,37,Shipping Damage,,"Crushed, blood stained"
1745247-1,SPAIN,7/8/2021,20,Redondo Iglesias S.A.,03E,RTE dried meat,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
1748703-3,AUSTRALIA,7/8/2021,128,Hilltop Meats Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
1749630-1,NEW ZEALAND,7/8/2021,ME15,Silver Fern Farms Limited- Belfast,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1745077-1,NEW ZEALAND,7/8/2021,ME119,Riverlands Manawatu Limited,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
1744612-1,AUSTRALIA,7/8/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,49,Invalid Shipping Mark,,Missing Shipping Mark
1744612-2,AUSTRALIA,7/8/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,413,Invalid Shipping Mark,,Missing Shipping Mark
1735369-1,NEW ZEALAND,7/8/2021,ME42,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
1740477-1,NEW ZEALAND,7/8/2021,ME23,AFFCO New Zealand Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
1739773-4,NEW ZEALAND,7/8/2021,ME118,Crusader Meats New Zealand Limited,03C,"Raw intact meat - other (sheep, goat)",Goat,0,Invalid Shipping Mark,,Missing Shipping Mark
