EstNumber,Company,Street,City,State,Zip,Phone,GrantDate,Activities,DBAs
I56,Londonderry Freezer Warehouse LLC,219 Rockingham Road,Londonderry,NH,3053,(603) 421-9525,11/09/2020,Imported Product,
I58,Lineage Logistics - Vernon Area #2,3211 E. 44th Street,Vernon,CA,90058,(323) 923-2002,03/28/2017,Imported Product,
I6,"Lineage Logistocs PFS, LLC",4901 Bandini Blvd.,Vernon,CA,90058,(323) 263-8811,04/08/2020,Imported Product,
I602,"Freezer & Dry Storage, LLC",21740 Trolley Industrial Drive,Taylor,MI,48180,(313) 295-1310,06/13/2019,Imported Product,
I608,Pacific Produce Corporation,220 East Harmon Industrial Park Road,Tamuning,GU,96931,(671) 646-8082,05/23/2016,Imported Product,
I61,"Lineage Logistics PFS, LLC",2357 S. Wood St.,Chicago,IL,60608,(773) 268-3400,09/11/2020,Imported Product,
I613,Vaillancourt Inspection Inc.,135 Ferry Street,Van Buren,ME,4785,(207) 868-5065,10/17/2016,Imported Product,
I616,MTC Logistics,4851 Holabird Avenue,Baltimore,MD,21224,(410) 342-9300,05/09/2016,Imported Product,
I62 + V62,"Piazza's Seafood World, LLC",205 James Drive West,St. Rose,LA,70087,(504) 602-5050,12/12/2017,"Identification - Siluriformes, Imported Product",
I620,"SR Forwarding, Inc.",40722 Cannel St.,Laredo,TX,78045,(956) 417-2929,08/24/2010,Imported Product,
I621,Mendez & Co. Cold Storage Logistics,Diana Street Lot #5,Guaynabo,PR,968,(787) 245-7959,08/21/2017,Imported Product,
I624,"Flint River Services, Inc.",101 Progress Drive,Rincon,GA,31326,(912) 754-1706,11/24/2009,Imported Product,
I625,"Quirch Foods Carribean, Inc.",918 Calle Escorial,San Juan,PR,920,(787) 775-6150,01/11/2018,Imported Product,
I628,"Safeway Freezer Storage, LLC",97 North Mill Road,Vineland,NJ,8360,(856) 691-9696,05/26/2011,Imported Product,
I629,"International Express, Inc.",2613 Wai Wai Loop,Honolulu,HI,96819,(808) 836-4744,11/01/2010,Imported Product,
I630,Ballester Hermanos Inc.,"#696 Street, #9",Dorado,PR,646,(787) 788-4110,07/13/2016,Imported Product,
I634,Marvel International inc,Amelia Distribution Center,Guaynabo,PR,968,(787) 754-6430,06/19/2014,Imported Product,"Marvel Specialties, Inc."
I64,"Luen Fung Enterprises (Saipan), Inc.","Arnold Pale Highway, Middle Road, Gualo Rai Village",Saipan,MP,96950,(670) 234-7243,06/21/2018,Imported Product,
I65 + V65,Kearny Cold Storage,69-81 Sellers Street,Kearny,NJ,7032,(201) 628-2952,06/16/2021,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",
I655 + V976,"Premier Distribution Center, LLC",841 N. Industrial Park Avenue,Nogales,AZ,85621,(520) 761-3481,05/11/2018,"Certification - Export, Imported Product",
I658,Palos Garza Forwarding,8417 Amparan Road,Laredo,TX,78045,(956) 417-2767,07/30/2013,Imported Product,
I66 + V51311,"Lineage Logistics PFS, LLC",10585 Red Bluff Rd.,Pasadena,TX,77507,(281) 291-9100,01/31/2020,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
I660,JE Exports,701 Cesar Chavez Blvd.,Calexico,CA,92231,(760) 357-2095,07/31/2020,Imported Product,
I663,Sea World Inc,Calle Diana Lot #36,Guaynabo,PR,968,(787) 273-1011,06/24/2016,Imported Product,
I669,Americold Logistics LLC,3 Gateway Boulevard,Pedricktown,NJ,8067,(856) 285-2600,07/08/2021,Imported Product,
I67,"Preferred Freezer of Elizabeth, LLC",150 Bayway Avenue,Elizabeth,NJ,7202,(973) 854-9400,06/29/2017,Imported Product,
I670,JE EXPORTS,224 West Grant Street,Calexico,CA,92231,(760) 357-2095,07/31/2020,Imported Product,
I679,PCC Logistics,2602 Port of Tacoma Road,Tacoma,WA,98421,(253) 922-2423,07/20/2017,Imported Product,
I68,"H&N Group, Inc.",5580 S. Alameda Street,Vernon,CA,90058,(323) 586-9388,09/01/2017,Imported Product,
I680,"Lineage Logistics PFS, LLC",7080 Express Lane,Houston,TX,77078,(832) 708-2200,01/24/2020,Imported Product,
I681,JE Exports,1680 Hilltop Drive,Chula Vista,CA,91911,(619) 426-6992,07/31/2020,Imported Product,
I682,New Orleans Cold Storage & Warehouse Co. Ltd.,1091 Remount Road,Charleston,SC,29406,(843) 747-4833,03/08/2021,Imported Product,NOCS South Atlantic
I683,"Elore Enterprises, LLC",1167 NW 159 Drive,Miami Gardens,FL,33169,(305) 477-1650,02/02/2017,Imported Product,Wine Importers and Distributors
I686,Americold Logistics LLC,1229 Fleetway Drive,Chesapeake,VA,23323,(757) 487-7847,12/21/2021,Imported Product,
I69 + V69,Intactics LLC,5 Bodega Drive,Nogales,AZ,85621,(520) 761-9762,11/05/2019,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product",
I7,Americold Logistics,19840 Rancho Way,Compton,CA,90220,(310) 632-6265,05/04/2020,Imported Product,
I70 + V70,Seafrigo Coldstorage Miami Inc,3200 NW 67th Avenue,Miami,FL,33122,(201) 770-1143,04/03/2018,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
I72,RSF Inc. DBA Freezpak Logistics,760 B Port Carteret Drive,Carteret,NJ,7008,(973) 523-1899,08/22/2017,Imported Product,Freezpak Logistics
I74 + V74,"Lineage Logistics PFS, LLC",604 Curt Maberry Road,Lynden,WA,98264,(360) 354-3900,03/28/2018,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise",
I77 + V77,"Lineage Logistics PFS, LLC",1400 S. Los Palos Street,Los Angeles,CA,90023,(323) 430-8550,05/27/2020,"Certification - Export, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product",
I79,Palama Holdings LLC,2029 Lauwiliwili Street,Kapolei,HI,96707,(808) 682-8305,12/14/2010,Imported Product,
I8,"Morgan-Todt, Inc. dba United Cold Storage",860 81st Avenue,Oakland,CA,94621,(315) 734-6884,08/06/2021,"Certification - Export, Imported Product",United Cold Storage
I80,Lineage Logistics - Vernon Area #8,2825 E. 44th Street,Vernon,CA,90058,(323) 583-3163,06/05/2019,Imported Product,
I81 + V81,"Lineage Logistics PFS, LLC",435-A Bergen Ave,Kearny,NJ,7032,(862) 400-0379,01/16/2020,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Identification - Siluriformes, Imported Product, Off-Premise Freezing -",
I83 + V83,B.Y. International Inc.,710 Epperson Drive,City of Industry,CA,91748,(909) 262-6713,05/20/2019,"Certification - Export, Identification - Meat, Identification - Poultry, Imported Product",
I85,"Global Trading Enterprises LLC, DBA Rastelli Global",504 Sharptown Road,Swedesboro,NJ,8085,(856) 223-9966,02/27/2019,Imported Product,Rastelli Global
I87,Carson Guam Corporation,"5164-2-R1 B21 Bldg 100, 102, 104",Tamuning,GU,96931,(671) 646-0881,04/05/2019,,
I88,New XO Market/Wholesale,"Gualo Rai, Middle Road",Saipan,MP,96950,(670) 235-9168,05/03/2019,Imported Product,
I89,"Lineage Logistics PFS, LLC",5459 Doolittle Road,Jacksonville,FL,32254,(904) 477-9320,04/28/2020,Imported Product,
I90,Arctic Logistics LLC,Arctic Logistics LLC,Canton,MI,48188,(734) 397-9880,02/15/2018,Imported Product,
I91,Pacific Grocers,196 Juan C. Fejeran,Barrigada,GU,96913,(671) 649-6978,07/02/2019,Imported Product,
I93,"Lineage Logistics PFS, LLC",3990 W.108th Street,Hialeah,FL,33018,(786) 510-1022,10/14/2020,Imported Product,
I95,Royal Foods Distribution,2026 Martin Avenue,Santa Clara,CA,95050,(408) 368-2636,01/23/2020,Imported Product,
I97,Cold Terminal of Laredo LLC,602 Union Pacific Blvd.,Laredo,TX,78045,(956) 413-6400,04/20/2021,Imported Product,
I99,"Americold Logistics, LLC",1951 Old River Road,Bloomingdale,GA,31302,(404) 216-0576,03/31/2021,Imported Product,
M1 + P1370,Vienna Beef Ltd.,1000 West Pershing Road,Chicago,IL,60609,(312) 278-7800,02/26/2019,"Meat Processing, Poultry Processing",Bistro Soups and Chili; David Berg; Minaret; Red Hot Chicago; Vienna; Vienna Beef; Vienna Beef Chili Company; Vienna Beef Ltd.; Vienna Sausage Manufacturing; Vienna Sausage Manufacturing Co.
M10 + P7212 + V10,Buckhead Meat & Seafood of Houston.,10310 Greens Crossing Blvd.,Houston,TX,77038,(281) 405-3200,10/29/2019,"Certification - Export, Meat Processing, Poultry Processing",Buckhead Meat; Buckhead Meat of Houston; Freedman Foods; Freedman Foodservice
M1000 + P7521 + V1000,"Preferred Meal Systems, Inc",4135 Birney Avenue,Moosic,PA,18507,(570) 457-8311,09/21/2016,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",The Maramont Corporation
M10001 + P10001,"Koegel Meats, Inc.",3400 West Bristol Road,Flint,MI,48507,(810) 238-3685,02/05/2004,"Meat Processing, Poultry Processing",
M10002 + P10002 + V10002,Dearborn Sausage Company Inc,2471 Wyoming  Avenue,Dearborn,MI,48120,(313) 842-2375,03/14/2007,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat",Dearborn Brand
M1001,Evans Food Group,2240 6th Street,Portsmouth,OH,45662,(614) 796-4882,08/19/2019,Meat Processing,
M10017 + P10017,Bert Hazekamp & Son Inc.,3933 South Brooks Road,Muskegon,MI,49444,(231) 773-6425,01/27/2011,"Meat Processing, Poultry Processing",Hazekamp Meats; Hazekamp Wholesale Meats
M10026,Hillsdale County Meats,11560 E. Territorial Rd.,Waldron,MI,49288,(517) 286-6270,02/02/2016,"Meat Processing, Meat Slaughter",
M10031 + P10031,Ada Valley Gourmet Foods,6210 E. Fulton,Ada,MI,49301,(616) 676-0767,04/05/2016,"Meat Processing, Poultry Processing",Classic Foods
M10036,Fillmore Beef Co.,5812 142nd Avenue,Holland,MI,49423,(616) 396-6693,04/24/2012,"Meat Processing, Meat Slaughter",
M10038 + P10038 + V10038,Scotts Hook & Cleaver Inc.,8713 South 38th Street,Scotts,MI,49088,(269) 626-8891,10/15/2014,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat, Voluntary",Pease Packing Corporation
M1004 + P1004,"Smart Food Systems, LLC",Carr. #2 KM. 94.5,Camuy,PR,627,(787) 599-0100,02/27/2015,"Meat Processing, Poultry Processing",Artisan Kitchen; Fitted Nutrition; Lean-n-Fit; Power Foods by Fitted Nutrition; Productos Don Yummy; Virginia
M10040,Milton Chili Co.,511 East Whitcomb Ave,Madison Heights,MI,48071,(313) 585-0300,08/21/1989,Meat Processing,
M10047 + P10047 + V10047,Rainbow Packing Inc.,3532A 18th Road,Escanaba,MI,49829,(906) 786-7098,05/12/2016,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M10053 + P10053,Michigan State University Dept of Animal Science,Anthony Hall,East Lansing,MI,48824,(517) 355-8452,04/03/2012,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",MSU Meat lab
M1006 + P17080,Spar Sausage Co.,688 Williams St.,San Leandro,CA,94577,(510) 614-8100,07/07/1997,"Meat Processing, Poultry Processing",
M10061 + V10061,Weltin Meat Packing Inc.,8678 Fifth Street,Minden City,MI,48456,(989) 864-8888,04/18/2006,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Exotic, Voluntary Slau",
M10062,Northside Noodle Co,609 Vulcan Street,Iron Mountain,MI,49801,(906) 396-7521,08/06/2020,Meat Processing,
M10072 + P10072,"Kowalski Companies, Inc.",2270 Holbrook Avenue,Hamtramck,MI,48212,(313) 873-8200,09/30/1994,"Meat Processing, Poultry Processing",Kowalski Company Inc; Kowalski Sausage Company Inc; Marquis Meats; Simply Sides
M1009A + P17328A,Michael Angelo's Gourmet Foods Inc.,200 Michael Angelo Way,Austin,TX,78728,(512) 218-3500,05/20/2021,"Meat Processing, Poultry Processing",
M101 + P18992 + P1539,Hickory Baked Ham Company Inc.,3221 N. Commerce Ct.,Castle Rock,CO,80104,(303) 688-2633,04/05/1994,"Meat Processing, Poultry Processing",Bushwacker Meats; Hickory Baked Foods; High Valley Farm; One-O-One Meats
M10100 + P10100,"Albie's Food Products, LLC",1534 O'Rourke Blvd,Gaylord,MI,49735,(989) 732-2800,02/26/2021,"Meat Processing, Poultry Processing",C.A. Curtze - Grand Duchess; Claire's Gourmet; Kristi's Gourmet Favorites; Mickeys Brand - Mickeys; National Food Group; Vollwerth - Copper Harbor
M10102,"A. Gemmen & Sons, Inc.",11404 68th Avenue,Allendale,MI,49401,(616) 895-4333,02/04/2004,Meat Processing,
M10103,Berghorst Farms,2255 South Baldwin Avenue,Fremont,MI,49412,(231) 924-0911,07/28/2004,Meat Processing,
M10105 + P10105,"Smith Meat Packing, Inc.",2043 International Way,Port Huron,MI,48060,(810) 985-5900,12/17/2014,"Meat Processing, Poultry Processing",
M10105A + P10105A,"Smith Meat Packing, Inc.",1420 Thomas Street,Port Huron,MI,48060,(810) 985-5900,12/17/2014,"Meat Processing, Poultry Processing",
M10113,El Acapulco Tamales LLC,2855 East Burt Road,Burt,MI,48417,(989) 770-4309,02/10/2020,Meat Processing,
M10114 + P10114 + V10114,"C. Roy, Inc.",444 Roy Drive,Yale,MI,48097,(810) 387-3975,10/06/2006,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M10116 + P10116,Mello Meats Inc.,272 Rex Blvd.,Auburn Hills,MI,48326,(586) 566-4661,11/09/2016,"Meat Processing, Poultry Processing",Kubisch Sausage Co.
M10125 + P10125 + V10125,"Perdue Premium Meat Company, Inc.",20643 Stephens Street,St Clair Shores,MI,48080,(586) 771-9880,10/29/2020,"Certification - Export, Meat Processing, Poultry Processing",Alexander & Hornung; Brookside Foods; Butcher Boy Meats; Coleman Natural Foods; Niman Ranch; Panorama Meats
M10130 + P10130,"Kenosha Beef International, In",1821 Dividend Drive,Columbus,OH,43228,(614) 771-1330,05/18/1999,Meat Processing,
M10136,KLP Specialty Food,8618 Fenkell,Detroit,MI,48238,(313) 345-6565,12/15/2011,Meat Processing,Empire Packing Co.
M10139 + P10139,"T. Wigley, Inc.",1537 Hale Street,Detroit,MI,48207,(313) 831-6881,08/20/2004,"Meat Processing, Poultry Processing",Wigleys
M1014 + P513,Carl Buddig and Co,50 W Taft Drive,South Holland,IL,60473,(708) 339-7300,12/10/2008,"Meat Processing, Poultry Processing","CBC, Inc"
M10147 + P10147 + V10147,"Countryside Quality Meats, L.L.C.",1184 Adolph Road,Union City,MI,49094,(517) 741-4275,03/21/2016,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat, Voluntary","Countryside Quality Meats, LLC"
M1014B + P513B,Carl Buddig & Company,16615 S. Vincennes,South Holland,IL,60473,(708) 798-0900,12/10/2008,"Meat Processing, Poultry Processing","CBC, Inc"
M1015 + P1015,"Table Trust Brands, LLC",247 Empire Drive,Mifflintown,PA,17059,(717) 436-5921,10/25/2021,"Meat Processing, Poultry Processing, Poultry Slaughter",Alle; Empire Kosher; Galil; Kosher Valley
M10158 + P10158,"Winter Sausage Mgr. Co., Inc.",22011 Gratiot,Eastpointe,MI,48021,(586) 777-9080,07/22/2004,"Meat Processing, Poultry Processing",
M10165 + P10165,Louie's Meats,2040 Cass Road,Traverse City,MI,49684,(616) 946-4811,02/25/2020,"Meat Processing, Poultry Processing",Louie's Meat's
M10176 + P10176,"Jones Butchering and Meat Processing, LLC",7965 Potters Road,Saranac,MI,48881,(616) 642-9212,07/10/2017,"Meat Processing, Meat Slaughter, Poultry Processing",Jones Farm Market; Jones Farm Meats
M10195 + P10195,Bernthal Packing Inc.,9378 Junction Road,Frankenmuth,MI,48734,(989) 652-2648,02/05/2004,"Meat Processing, Meat Slaughter",
M10198,"Dave's Sausage Factory, Inc.",10550 W. Vernor,Dearborn,MI,48120,(313) 841-7626,02/19/2004,Meat Processing,
M102 + P102,Atlantic Veal & Lamb LLC,218 Hull Avenue,Olyphant,PA,18447,(718) 599-6400,06/16/2009,"Meat Processing, Poultry Processing",
M10203 + P10203,"A&R Packing Co., Inc.",34165 Autry,Livonia,MI,48150,(734) 422-2060,06/23/2020,"Meat Processing, Poultry Processing",A & R Packing LLC
M10215 + P10215,"Abbott's Meat, Inc.",3623 Blackington Avenue,Flint,MI,48532,(810) 232-7128,05/28/2004,"Meat Processing, Poultry Processing",
M10219 + P10219,"E.W. Grobbel Sons, Inc.",2500 Orleans St.,Detroit,MI,48207,(313) 567-8000,03/10/2020,"Meat Processing, Poultry Processing",Adelaide Farm Foods; EW Grobbel; United Meat & Deli
M10226,DeVries Meats,17685 80th Avenue,Coopersville,MI,49404,(616) 837-6061,10/28/2021,"Meat Processing, Meat Slaughter",UTICA PACKING
M10227 + P10227,Plath's Meats Inc.,116 South Third Street,Rogers City,MI,49779,(989) 734-2232,12/22/2010,"Meat Processing, Poultry Processing",
M10237 + P10237 + V10237,Circle M Meat LLC,13957 South Straits Hwy,Wolverine,MI,49799,(231) 525-8216,01/14/2022,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Circle M Ranch
M10249 + P10249,"Zalack's Flint Provision, Inc.",2801 Lippincott Blvd,Flint,MI,48507,(810) 742-4100,04/26/2004,"Meat Processing, Poultry Processing","Flint Provision, Inc.; Zalack's Provision, Inc."
M10251 + P10251 + V10251,Ernst Hotel Supply Co.,2888 Riopelle,Detroit,MI,48207,(313) 832-4300,08/23/2005,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Diamond Pride
M10252,Berry & Sons Rababeh Isl Slau,2496 Orleans St.,Detroit,MI,48207,(313) 259-6925,01/14/2004,"Meat Processing, Meat Slaughter",
M10256 + P10256,"E & H Packing Co, Inc.",2453 Riopelle Street,Detroit,MI,48207,(586) 838-8286,07/15/2021,"Meat Processing, Poultry Processing",
M10259,Kern's Sausages Inc.,110 West Jefferson Street,Frankenmuth,MI,48734,(989) 652-2684,11/04/1996,Meat Processing,
M10266 + P10266,"Detroit Sausage Company, Inc.",2715 St. Aubin,Detroit,MI,48207,(313) 259-0555,08/13/2002,"Meat Processing, Poultry Processing",
M10269,"Jos. Sanders, Inc.",237 South Main,Custer,MI,49405,(231) 757-4768,08/17/2004,"Meat Processing, Meat Slaughter",
M10270 + P10270,"The Meat Block, Inc.",2330 East Broadway,Muskegon,MI,49444,(231) 773-0224,01/10/2011,"Meat Processing, Poultry Processing",
M10301 + P10301 + V10301,Walsh Packing Company,7551 Pigeon Road,Pigeon,MI,48755,(989) 453-2961,09/17/2018,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry, Voluntary Sl",
M10306 + P10306 + V10306,"Michigan Brand, Inc.",1313 South Farragut Street,Bay City,MI,48708,(989) 893-9589,11/22/2016,"Food Inspection, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Exotic",
M10306F + P10306F + V10306F,Michigan Brand Inc.,320 Heinlein Strasse,Frankenmuth,MI,48734,(989) 893-9589,09/28/2016,"Animal Foods Inspection, Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",
M10307 + P10307,"J.G. Food Products, Inc.",14336 Rick Dr.,Shelby Township,MI,48315,(586) 296-7330,01/24/2020,"Meat Processing, Poultry Processing",Rinaldi Sausage
M10312,Balkan Meat Market,19625 Van Dyke Ave,Detroit,MI,48234,(313) 368-9888,07/30/2021,Meat Processing,
M10315 + P10315,Athena Foods,23100 Telegraph Road,Southfield,MI,48034,(248) 827-7733,04/25/2013,"Meat Processing, Poultry Processing",Athena Foods
